"address","location/lat","location/lng","name","numberOfGuests","roomType","stars","url"
"East Jordan, Michigan, United States","45.13928","-85.14532","Sunflower Studio Hilltop Bungalow","6","Entire home","4.5","https://www.airbnb.com/rooms/53930924"
"East Jordan, Michigan, United States","45.17827","-85.1474","Sadie's Retreat","6","Entire cottage",,"https://www.airbnb.com/rooms/46698539"
"East Jordan, Michigan, United States","45.15972","-85.14719","South Shore Haven-Lake Charleviox Waterfront Condo","8","Entire condo","5","https://www.airbnb.com/rooms/48145883"
"Boyne City, Michigan, United States","45.17482","-84.98267","Log cabin on all sports, Deer Lake near Boyne Mt.","4","Entire cabin","4.5","https://www.airbnb.com/rooms/18342905"
"Boyne City, Michigan, United States","45.20035","-85.02187","Boyne City, blocks to Boyne City, Fall Fun!","7","Entire home","4.5","https://www.airbnb.com/rooms/47157836"
"Boyne City, Michigan, United States","45.19847","-84.95685","The Perfect Escape","9","Entire condo",,"https://www.airbnb.com/rooms/32887973"
"East Jordan, Michigan, United States","45.1576","-85.14677","Beautiful 3-Bedroom, 2-Bath Condo. Lake Front","6","Entire condo","5","https://www.airbnb.com/rooms/52309047"
"Bellaire, Michigan, United States","44.97552","-85.19421","Located  Between Shanty Creek &  Downtown Bellaire","7","Entire rental unit","5","https://www.airbnb.com/rooms/52220183"
"East Jordan, Michigan, United States","45.16139","-85.12465","LeBelle Coin, Lake Charlevoix Views","6","Entire home","5","https://www.airbnb.com/rooms/54339054"
"Bellaire, Michigan, United States","44.97975","-85.2125","Bellaire Home on the Intermediate River","10","Entire home","5","https://www.airbnb.com/rooms/41342573"
"Boyne Falls, Michigan, United States","45.16388","-84.93966","370 Disciples Village Condo","10","Entire condo",,"https://www.airbnb.com/rooms/32888131"
"East Jordan, Michigan, United States","45.19446","-85.14995","Porter Estates Cozy Cabin","7","Entire cottage","5","https://www.airbnb.com/rooms/33996743"
"Boyne Falls, Michigan, United States","45.1665","-84.9375","728 Disciples Village Condo","12","Entire condo",,"https://www.airbnb.com/rooms/32888119"
"Boyne Falls, Michigan, United States","45.16656","-84.93664","678 Disciples Village Unit","10","Entire condo",,"https://www.airbnb.com/rooms/48184668"
"East Jordan, Michigan, United States","45.15523","-85.14378","Whiskey's Landing - snowmobiling, skiing, swimming","8","Entire home","5","https://www.airbnb.com/rooms/47515176"
"Bellaire, Michigan, United States","44.97805","-85.21263","Friendly Place on the River","8","Entire home","5","https://www.airbnb.com/rooms/46394827"
"East Jordan, Michigan, United States","45.18074","-85.15012","Rustic Log Cabin on Sunset Side of Lake Charlevoix","6","Entire cabin","5","https://www.airbnb.com/rooms/25698055"
"Boyne Falls, Michigan, United States","45.16526","-84.93707","Boyne Mtn, Ski in/ski out/slopeside, Boyneland","16","Entire home","5","https://www.airbnb.com/rooms/40134353"
"Boyne Falls, Michigan, United States","45.16747","-84.93673","Ski House","12","Entire townhouse","5","https://www.airbnb.com/rooms/38019738"
"Boyne Valley Township, Michigan, United States","45.173","-84.973","Outdoor Lovers Dream Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/47919780"
"East Jordan, Michigan, United States","45.182","-85.163","Lake Charlevoix Waterfront!!!","8","Entire cabin","5","https://www.airbnb.com/rooms/20515891"
"East Jordan, Michigan, United States","45.15348","-85.1191","The House Next Door, Close to Lake Charlevoix 🐕","7","Entire home","5","https://www.airbnb.com/rooms/22552485"
"Boyne Falls, Michigan, United States","45.16811","-84.93765","666 Disciples Village Condo","12","Entire condo","5","https://www.airbnb.com/rooms/32888146"
"Boyne City, Michigan, United States","45.16038","-84.97048","Monument: Sleeps 4: 3 mins to 8 man chairlift","4","Entire guest suite","4.5","https://www.airbnb.com/rooms/53640326"
"East Jordan, Michigan, United States","45.16034","-85.12729","Quaint East Jordan Cottage","6","Entire cottage","5","https://www.airbnb.com/rooms/44801015"
"Mancelona, Michigan, United States","45.03752","-85.06112","Jordan River Cottage - 200' of Private Frontage","5","Entire cottage","4.5","https://www.airbnb.com/rooms/43089352"
"Bellaire, Michigan, United States","44.99927","-85.20726","“The Cottage Down Below”","8","Entire cottage","5","https://www.airbnb.com/rooms/44335400"
"Bellaire, Michigan, United States","44.97841","-85.21351","House, Biking, Skiing, Dog Friendly, Winter Fun! + walk to downtown","8","Entire vacation home","5","https://www.airbnb.com/rooms/52970337"
"East Jordan, Michigan, United States","45.1936","-85.15155","Porter Estates Cabin on Lake Charlevoix","7","Entire cottage","5","https://www.airbnb.com/rooms/34896292"
"Bellaire, Michigan, United States","44.97343","-85.17875","Bellaire Chalet","10","Entire chalet","5","https://www.airbnb.com/rooms/11910594"
"Bellaire, Michigan, United States","44.98852","-85.17399","Newly Renovated Bellaire Farmhouse","10","Entire home","5","https://www.airbnb.com/rooms/38676526"
"East Jordan, Michigan, United States","45.1606","-85.15024","Lakefront Charlevoix - book your fall vacation","7","Entire home","5","https://www.airbnb.com/rooms/28561956"
"Boyne Falls, Michigan, United States","45.16284","-84.96686","Lakefront/Ski /Golf/Boyne mountain,King size bed","6","Entire condo","5","https://www.airbnb.com/rooms/45079802"
"Boyne City, Michigan, United States","45.15643","-84.98329","""ZEN House ""minutes from Boyne Lake/ski/golf/","8","Entire home","5","https://www.airbnb.com/rooms/28258438"
"Boyne City, Michigan, United States","45.17073","-84.94229","Ski, Golf, Bike, Swim and More - Plush Condo with","8","Entire condo","4.5","https://www.airbnb.com/rooms/25155378"
"Boyne City, Michigan, United States","45.17184","-84.94313","Plush 2BR Creekside Condo at Boyne Mountain-Slope","8","Entire condo","5","https://www.airbnb.com/rooms/25155391"
"Boyne Falls, Michigan, United States","45.16704","-84.93578","Ski-In/Walk-out Condo at Boyne Mountain","12","Entire condo","5","https://www.airbnb.com/rooms/49628956"
